StudentID,Year,Department,Gender,CGPA,Skills,Company,Role,OfferDate,CTC_LPA,Status
S50001,2025,ECE,Female,8.98,"NLP, Node.js",Facebook,Web Developer,2025-04-15,5.18,Placed
S50002,2021,ECE,Female,9.34,"SQL, Java, Cloud, Machine Learning, Python",Facebook,System Engineer,2023-09-22,14.74,Unplaced
S50003,2022,AIML,Male,5.69,"C++, Computer Vision, Python, AI, Machine Learning",Facebook,Data Scientist,2024-02-29,39.64,Unplaced
S50004,2023,IT,Male,5.91,"Computer Vision, React, Deep Learning",Google,AI Engineer,2025-07-29,20.43,Placed
S50005,2023,CSE,Female,6.51,"Cloud, DevOps",TCS,Software Engineer,2025-05-30,16.02,Unplaced
S50006,2024,CIVIL,Female,5.92,"Cybersecurity, C++, Python, Deep Learning, AI",TCS,Cloud Engineer,2024-11-22,19.98,Unplaced
S50007,2023,EEE,Male,7.26,"Cloud, Machine Learning, Java",Facebook,Cloud Engineer,2022-10-06,42.57,Unplaced
S50008,2025,ECE,Female,8.88,"Cloud, Cybersecurity",TCS,Cloud Engineer,2024-08-14,15.43,Unplaced
S50009,2021,IT,Female,7.56,"Computer Vision, C++, Data Science, Deep Learning",HCL,Software Engineer,2023-09-12,16.12,Unplaced
S50010,2023,IT,Male,8.13,"Node.js, C++, Cybersecurity, Python",Microsoft,Analyst,2025-05-26,25.41,Unplaced
S50011,2021,IT,Female,9.13,"DevOps, React, C++, Python, Computer Vision",Google,Cloud Engineer,2022-11-10,23.73,Placed
S50012,2022,CIVIL,Male,8.15,"Java, C++, React, Data Science, NLP",Google,Cloud Engineer,2023-04-22,20.67,Placed
S50013,2024,MECH,Male,9.88,"Node.js, Cybersecurity, NLP, Data Science, Computer Vision",Apple,AI Engineer,2023-02-13,22.74,Placed
S50014,2021,EEE,Male,8.13,"NLP, Data Science, C++, Java, Node.js",Apple,Analyst,2024-03-21,35.84,Unplaced
S50015,2021,AIML,Female,8.47,"AI, Deep Learning",TCS,Analyst,2024-08-19,32.59,Unplaced
S50016,2024,ECE,Female,9.78,"DevOps, C++, Cloud, Python",Wipro,Analyst,2023-09-09,35.5,Unplaced
S50017,2023,EEE,Female,9.08,"Data Science, Deep Learning, DevOps, Computer Vision",Infosys,AI Engineer,2024-04-04,41.74,Placed
S50018,2024,ECE,Female,7.59,"Machine Learning, NLP, Data Science",Wipro,AI Engineer,2024-12-13,32.04,Unplaced
S50019,2022,MECH,Female,6.51,"Cybersecurity, Python, Machine Learning, C++",Accenture,System Engineer,2023-01-27,29.21,Placed
S50020,2022,AIML,Male,8.15,"Node.js, Machine Learning",Amazon,Software Engineer,2025-01-29,40.46,Placed
S50021,2023,IT,Female,5.97,"React, Node.js",TCS,System Engineer,2023-09-13,30.83,Placed
S50022,2025,IT,Male,8.59,"Python, Data Science, React, Deep Learning",Infosys,Cloud Engineer,2022-09-11,7.83,Unplaced
S50023,2021,MECH,Female,5.47,"Cloud, Deep Learning, Data Science, C++",Infosys,System Engineer,2023-07-24,37.15,Unplaced
S50024,2024,IT,Male,7.98,"Machine Learning, C++, Cloud, Java, Data Science",Google,System Engineer,2024-05-17,7.53,Placed
S50025,2023,CIVIL,Female,7.15,"Node.js, Deep Learning, Computer Vision",Infosys,System Engineer,2023-10-30,43.37,Placed
S50026,2025,MECH,Female,8.71,"Node.js, Deep Learning, React, Python",TCS,AI Engineer,2023-05-31,23.65,Unplaced
S50027,2022,EEE,Male,5.61,"Machine Learning, Deep Learning, Python, C++, React",Google,System Engineer,2024-04-17,25.37,Unplaced
S50028,2022,EEE,Male,6.23,"NLP, C++, Cybersecurity, Deep Learning",Apple,System Engineer,2023-04-26,28.54,Unplaced
S50029,2025,CIVIL,Male,5.08,"Deep Learning, Computer Vision, SQL",TCS,Analyst,2022-12-11,15.47,Placed
S50030,2024,ECE,Female,8.41,"Python, Computer Vision, Deep Learning",HCL,System Engineer,2023-03-25,31.8,Placed
S50031,2025,IT,Male,7.15,"Cloud, Computer Vision, Cybersecurity, AI, DevOps",Wipro,Cloud Engineer,2025-04-07,41.29,Unplaced
S50032,2024,EEE,Male,9.49,"NLP, AI, Java, Deep Learning, Python",Infosys,Analyst,2025-04-07,15.03,Unplaced
S50033,2023,IT,Male,7.39,"Data Science, SQL, C++, React, Cloud",HCL,Cloud Engineer,2024-07-13,5.04,Placed
S50034,2023,AIML,Male,8.96,"Data Science, Cybersecurity",Infosys,Software Engineer,2023-03-06,44.93,Unplaced
S50035,2021,CSE,Male,6.1,"Cybersecurity, C++",Apple,Web Developer,2023-03-15,41.56,Placed
