StudentID,Year,Department,Gender,CGPA,Skills,Company,Role,OfferDate,CTC_LPA,Status
S40001,2022,ECE,Male,8.61,"C++, Java, NLP, Python, React",HCL,AI Engineer,2023-08-23,36.62,Placed
S40002,2022,MECH,Female,6.38,"NLP, Java, Deep Learning",Facebook,Software Engineer,2023-12-06,37.81,Unplaced
S40003,2023,IT,Male,6.55,"Java, NLP, Cloud, Data Science",Infosys,Analyst,2023-01-29,13.45,Placed
S40004,2024,ECE,Male,9.72,"Python, Deep Learning, Cloud, Cybersecurity",Apple,Cloud Engineer,2024-04-28,35.14,Placed
S40005,2024,EEE,Female,7.16,"Machine Learning, Deep Learning, NLP",Google,Software Engineer,2024-09-03,4.95,Unplaced
S40006,2025,MECH,Female,8.5,"DevOps, Machine Learning, Java",Infosys,Data Scientist,2023-04-19,29.67,Unplaced
S40007,2023,IT,Female,7.18,"DevOps, SQL, Machine Learning, Data Science",Microsoft,Cloud Engineer,2023-01-08,5.59,Placed
S40008,2023,AIML,Male,5.61,"Deep Learning, Node.js, Python",Google,AI Engineer,2022-12-03,32.29,Unplaced
S40009,2023,CSE,Female,6.44,"AI, DevOps, React",Accenture,Web Developer,2022-09-21,37.35,Unplaced
S40010,2025,IT,Female,6.46,"React, Cloud, C++, Data Science",Accenture,Software Engineer,2024-05-06,18.26,Unplaced
S40011,2022,ECE,Female,9.99,"Node.js, Machine Learning",Infosys,Data Scientist,2024-12-22,7.77,Placed
S40012,2021,CIVIL,Male,7.98,"Cloud, Python, SQL",Wipro,Analyst,2023-11-14,13.46,Placed
S40013,2021,AIML,Female,8.87,"DevOps, Machine Learning, Node.js, NLP, Cybersecurity",Wipro,System Engineer,2022-11-21,23.66,Placed
S40014,2024,EEE,Male,8.24,"NLP, Machine Learning, Node.js, Computer Vision, Python",Google,AI Engineer,2023-08-01,13.64,Placed
S40015,2022,EEE,Female,5.71,"Computer Vision, Data Science",Accenture,Software Engineer,2024-11-07,44.6,Unplaced
S40016,2021,EEE,Female,5.46,"Computer Vision, NLP, Cloud",Amazon,AI Engineer,2024-12-02,15.44,Unplaced
S40017,2023,AIML,Female,7.64,"Data Science, React, Node.js, Java",Apple,Web Developer,2024-03-03,31.07,Placed
S40018,2024,MECH,Male,8.83,"DevOps, NLP, Python, C++",Wipro,Analyst,2023-10-25,22.83,Unplaced
S40019,2024,IT,Male,6.06,"Python, Cloud, Deep Learning",Microsoft,System Engineer,2023-05-17,37.01,Unplaced
S40020,2022,MECH,Male,9.39,"C++, DevOps, Cloud",TCS,Cloud Engineer,2023-02-02,40.45,Unplaced
S40021,2025,EEE,Male,5.39,"Node.js, SQL",Apple,Analyst,2023-10-02,35.51,Placed
S40022,2023,CSE,Male,6.48,"NLP, Java, Computer Vision, SQL",Wipro,System Engineer,2023-07-21,11.62,Unplaced
S40023,2024,IT,Female,9.28,"Java, Computer Vision, NLP, Cloud, Data Science",HCL,System Engineer,2022-09-30,20.47,Unplaced
S40024,2021,CIVIL,Male,8.18,"React, Java, AI, SQL, C++",TCS,Cloud Engineer,2025-05-13,9.84,Placed
S40025,2023,EEE,Female,6.29,"Cybersecurity, C++",Google,Web Developer,2023-09-30,16.1,Placed
S40026,2024,AIML,Female,7.63,"React, NLP, Deep Learning",TCS,Data Scientist,2023-10-18,35.2,Placed
S40027,2021,MECH,Female,7.72,"AI, Cloud, Deep Learning, SQL, Node.js",Accenture,Analyst,2023-06-18,21.57,Placed
S40028,2023,AIML,Female,9.93,"C++, React, Java, Cloud",Amazon,Web Developer,2023-05-05,36.98,Placed
S40029,2023,ECE,Male,7.88,"DevOps, Cloud, Java, AI",Infosys,Web Developer,2023-12-16,42.32,Placed
