StudentID,Year,Department,Gender,CGPA,Skills,Company,Role,OfferDate,CTC_LPA,Status
S30001,2022,MECH,Male,6.85,"DevOps, Cloud, Java, NLP, Python",Wipro,AI Engineer,2023-08-26,26.13,Placed
S30002,2024,MECH,Female,6.99,"Machine Learning, DevOps, C++",HCL,System Engineer,2025-02-27,34.13,Placed
S30003,2022,AIML,Male,6.51,"NLP, Computer Vision",Apple,System Engineer,2024-12-14,27.98,Unplaced
S30004,2024,EEE,Female,9.82,"Computer Vision, Data Science, Java",Google,Data Scientist,2023-03-12,23.79,Unplaced
S30005,2024,AIML,Female,7.11,"Cloud, Data Science, SQL, Computer Vision, React",Accenture,Data Scientist,2024-03-18,40.98,Placed
S30006,2023,MECH,Male,8.49,"SQL, Cloud, NLP, Java",Facebook,Web Developer,2025-03-17,37.93,Unplaced
S30007,2023,CSE,Male,7.41,"Java, Data Science, AI, Computer Vision, React",Amazon,Software Engineer,2024-08-27,15.34,Unplaced
S30008,2021,CSE,Male,6.89,"SQL, Deep Learning, Computer Vision, Machine Learning",Google,AI Engineer,2025-04-20,3.3,Placed
S30009,2025,MECH,Male,9.74,"Deep Learning, Cloud, Computer Vision, C++, Python",TCS,AI Engineer,2025-02-09,18.13,Placed
S30010,2024,EEE,Female,9.35,"DevOps, NLP, Cloud, Computer Vision, SQL",Microsoft,Analyst,2022-12-01,43.86,Unplaced
S30011,2024,CIVIL,Male,9.68,"Deep Learning, SQL, Computer Vision, NLP, Data Science",Google,Cloud Engineer,2025-03-19,20.44,Unplaced
S30012,2021,EEE,Male,5.3,"Node.js, Data Science, DevOps, NLP",Accenture,Web Developer,2022-09-11,14.71,Unplaced
S30013,2021,MECH,Male,9.77,"Data Science, Deep Learning",Wipro,AI Engineer,2024-08-19,27.89,Unplaced
S30014,2022,ECE,Male,6.56,"NLP, Cloud, Deep Learning, AI",Infosys,Software Engineer,2023-09-28,35.44,Placed
S30015,2025,CIVIL,Male,6.55,"DevOps, AI, Deep Learning",Facebook,AI Engineer,2024-12-24,10.87,Unplaced
S30016,2021,CSE,Female,9.75,"Node.js, AI, C++",Microsoft,AI Engineer,2023-08-21,34.17,Placed
S30017,2025,EEE,Female,6.13,"Python, SQL",Facebook,AI Engineer,2023-06-15,36.88,Placed
S30018,2023,ECE,Male,9.03,"Cloud, C++, React, Deep Learning",HCL,Cloud Engineer,2024-08-21,38.7,Unplaced
S30019,2023,CIVIL,Female,6.45,"Python, React, C++, Machine Learning, Computer Vision",Wipro,Cloud Engineer,2024-12-09,39.96,Unplaced
S30020,2025,CIVIL,Male,5.16,"NLP, AI, DevOps, Cybersecurity, SQL",Apple,Analyst,2024-12-22,17.32,Placed
S30021,2021,AIML,Female,5.6,"Python, Computer Vision, AI",HCL,Data Scientist,2024-08-30,40.66,Unplaced
S30022,2025,CSE,Male,7.41,"C++, SQL",Apple,Data Scientist,2024-04-29,30.84,Unplaced
S30023,2021,MECH,Male,6.71,"NLP, SQL, Node.js, Python",TCS,Data Scientist,2025-05-10,11.29,Placed
S30024,2022,IT,Female,9.61,"NLP, Python, Node.js",Accenture,Cloud Engineer,2023-04-12,19.81,Unplaced
S30025,2022,ECE,Female,5.25,"AI, NLP, Python, Computer Vision",Amazon,Software Engineer,2023-08-17,8.23,Placed
S30026,2024,CSE,Male,7.58,"Data Science, C++, Computer Vision, Java, AI",Infosys,Web Developer,2025-05-04,19.36,Unplaced
S30027,2023,ECE,Male,9.94,"Java, C++, SQL, Python, React",Microsoft,Analyst,2023-04-14,10.5,Unplaced
S30028,2024,MECH,Female,8.18,"Cloud, React",Google,AI Engineer,2024-11-11,29.35,Unplaced
S30029,2024,CIVIL,Female,7.3,"Machine Learning, SQL, Deep Learning",Accenture,Software Engineer,2024-04-18,36.73,Placed
S30030,2024,IT,Male,9.68,"Computer Vision, SQL, AI, Deep Learning",Microsoft,System Engineer,2022-09-14,32.0,Unplaced
S30031,2021,CIVIL,Female,7.82,"AI, Cloud",Google,System Engineer,2025-06-30,9.03,Unplaced
S30032,2021,MECH,Male,7.82,"C++, NLP, Python, Data Science, Java",Google,Cloud Engineer,2022-11-29,7.83,Unplaced
